Date,Member,Party,State / District,Title,Press Release
April 30,Kevin McCarthy,R,Calif.-20,Speaker Johnson Launches House-wide Effort to Crack Down on Antisemitism on College Campuses,
April 30,Mike Kelly,R,Pa.-16,"Reps. Kelly, Thompson, Smith introduce legislation to expand Americans' telehealth options","Washington, DC – House Democratic Leader Hakeem Jeffries, Democratic Whip Katherine Clark and Democratic Caucus Chair Pete Aguilar released the following statement upon the completion of the House Democratic Caucus Meeting:For months, House Republicans irresponsibly delayed critical security assistance to our democratic allies in Ukraine, Israel and the Indo-Pacific, while simultaneously blocking humanitarian assistance to civilians in harm’s way in places like Gaza, Haiti and the Sudan. Thanks to a bipartisan coalition of Democrats and Republicans, led by President Biden, we were finally able to meet the national security needs of the American people. From the very beginning of this Congress, House Democrats have put people over politics and found bipartisan common ground with traditional Republicans in order to deliver real results. At the same time, House Democrats have aggressively pushed back against MAGA extremism. We will continue to do just that. At this moment, upon completion of our national security work, the time has come to turn the page on this chapter of Pro-Putin Republican obstruction. We will vote to table Rep. Marjorie Taylor Greene’s Motion to Vacate the Chair. If she invokes the motion, it will not succeed. Subscribe to our e-newsletter that provides updates
					on important issues, my work in the Congress and what's
					happening in our district."
April 30,Mike Kelly,R,Pa.-16,Rep. Kelly questions Treasury Secretary Janet Yellen on Biden Administration negotiating tax deals without Congress,https://iqconnect.house.gov/iqextranet/view_newsletter.aspx?id=105788&c=AZ05AB
April 29,Tom Cole,R,Okla.-4,Resources For Those Affected By This Weekends Tornadoes,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Ayanna Pressley,D,Mass.-7,"WATCH: Pressley Highlights Importance of DEI, Touts Bills to Codify Equity Across Federal Agencies",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Michael C. Burgess,R,Tex.-26,"Burgess, Murphy, Van Orden, Nehls Reintroduce Bill to Permanently Expand Access to Telehealth Services for Rural Americans",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Matt Gaetz,R,Fla.-1,Rep. Matt Gaetz's Podcast: Firebrand LIVE,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Steve Womack,R,Ark.-3,"Womack Holds First Hearing as Chairman of THUD, Questions Secretary Buttigieg on FY25 DOT Budget Request",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Morgan Griffith,R,Va.-9,"Griffith Announces $1,095,626 HHS Grant to Free Clinic of the New River Valley, Inc.",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Morgan Griffith,R,Va.-9,Ninth District Traveling Staff Office Hours for May,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Raja Krishnamoorthi,D,Ill.-8,Xi Jinping Has Tough Economic Choices Ahead,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 29,Matt Gaetz,R,Fla.-1,DISTRICT NEWS!,Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details
April 30,Hakeem Jeffries,D,N.Y.-8,JOINT DEMOCRATIC LEADERSHIP STATEMENT ON MOTION TO VACATE,"For Immediate Release Contact: Taylor Haulsee     NEW YORK CITY — At a press conference on the steps of the Low Memorial Library at Columbia University, Speaker Johnson denounced the inexcusable treatment of Jewish students on Columbia’s campus and called for University President Minouche Shafik to resign if she can’t bring an immediate end to the chaos.   Click here to watch the press conference   “Sadly, Columbia’s administrators have chosen to let the threats, the fear, and the intimidation of the mob rule to overtake American principles like free speech and the free exchange of ideas and the free exercise of religion,” Speaker Johnson said. “They have co-opted First Amendment arguments to protect genocide and to elevate the voices of antisemitism. They have proven themselves to be incapable of achieving their basic responsibility, which is keeping students safe. We just can’t allow this kind of hatred and any antisemitism to flourish on our campuses, and it must be stopped in its tracks.”   Prior to the press conference, Speaker Johnson met with Jewish students from Columbia alongside Rabbi Yuda Drizin. “We just left a meeting with Jewish students who told us of the heinous acts of bigotry that they have experienced simply because of their faith,” Speaker Johnson said. “Their bravery is inspiring, much more inspiring than some of the activities we’re seeing here. They should never have to confront such hate on an American college campus at such a revered institution.”   Speaker Johnson was joined at the press conference by Education and Workforce Committee Chairwoman Virginia Foxx, Rep. Anthony D’Esposito,  Rep. Nicole Malliotakis, and Rep. Mike Lawler.   Rep. Foxx: “So, I have a message, President Shafik, and a message for you all too. The inmates are running the asylum. Take back control of this once great institution. You took action last week, it’s time to act again. If not, the committee will pursue every possible avenue to create a safe learning environment for Jewish students. “   Rep. D’Esposito: “If you are a protester on this campus, and you are proud that you’ve been endorsed by Hamas, you are part of the problem. When you cheer on the fact that you enjoy Hamas and Hezbollah, you are yourself part of the problem. Mr. Speaker, I’m proud to join with you here today in calling for the immediate resignation of the President of Columbia. She has failed her duty. She is not keeping students safe.”   Rep. Malliotakis: “It is truly outrageous, and it’s clear that the president of this university cannot control the campus, she cannot and will not hold students who are doing these types of antisemitic activities accountable, and that she cannot keep the students who are of Jewish faith – who, who have paid a lot of money and have worked very hard to get to an Ivy League institution like this – that she cannot keep them safe. And that is why I joined my colleagues in calling for her resignation.”   Rep. Lawler: “I want Palestinians to be free too, from their oppressor, Hamas. And every single one of you students that support Hamas are an absolute abomination. …If you want a ceasefire, the fastest way for a ceasefire to occur is for Hamas to surrender and to release the hostages. And if you can’t call for that, you are a pathetic embarrassment to this institution and to students everywhere. It is time for President Shafik to resign in disgrace.”   Read Speaker Johnson’s full remarks below:   “We’re here today at one of America’s preeminent academic institutions on a very important day in a very important time. Throughout history, Columbia students have contributed to the great storybook of America’s life and thought. Visionary American leaders like Alexander Hamilton and John Jay and the Jewish leader Gershom Seixas knew the self-evident truth that was at the heart of this country, and once, at the heart of this university. And that is that we are endowed by our creator with certain inalienable rights. They should not be infringed.   “The founders and the great leaders who had come through this institution in the past believed in religious liberty. They believed in democracy. They believed in morality and virtue and the dignity of every human person. They believed in the free exchange of ideas, and they detested mob rule.   “We are standing here right now in the steps of the Low Library. In this very building right behind us, Columbia University once awarded Winston Churchill in an honorary degree, and it was Churchill who said, “It is manifestly right that Jews should have a national home where they may be reunited.” We believe in that principle, and today I’m here to proclaim to all those who gnash their teeth and demand to wipe the state of Israel off the map and attack our innocent Jewish students, this simple truth: neither Israel, nor these Jewish students on this campus, will ever stand alone.   “Today, Hamas issued an endorsement statement of the protestors on this campus. They called them the future leaders of America. It is detestable. All of this has to be said because the cherished traditions of this university are being overtaken right now by radical and extreme ideologies. They place a target on the backs of Jewish students in the United States, and here on this campus, a growing number of students have chanted in support of terrorists. They have chased down Jewish students. They have mocked them and reviled them. They have shouted racial epithets. They have screamed at those who bear the star of David.   “They have told Jewish students who wear the star of David to leave the country and shamefully some professors and faculty have joined the mobs. Things have gotten so out of control that the school has canceled in-person classes, and now they’ve come up with this hybrid model where they will discriminate against Jewish students. They’re not allowed to come to class anymore for fear of their lives. And it’s detestable.   “As Columbia has allowed these lawless agitators and radicals to take over, the virus of antisemitism is spread across other campuses. By some counts, as many as 200 universities have a similar form of protest. Right now at Yale, a Jewish student was stabbed in the eye with a Palestinian flag and 45 students were arrested. At NYU, Pro-Hamas protestors were shouting from the ‘river to the sea.’ Anti-Israel encampments are popping up at universities all across this country.   “The madness has to stop. We just left a meeting with Jewish students who told us of the heinous acts of bigotry that they have experienced simply because of their faith. Their bravery is inspiring, much more inspiring than some of the activities we’re seeing here. They should never have to confront such hate on an American college campus at such a revered institution.   “Antisemitism has been growing in America and it’s clear why. Powerful people have refused to condemn it, and some have even peddled it themselves. From university professors to public officials, people in positions of authority have denied the horrific facts of September 11th, 2001, the attacks on the United States. That happened right here in New York City, and they’ve attempted to excuse or to ignore the barbaric attack of Hamas in Israel on October 7th, 2023. Where Israeli women and children were savagely raped and murdered, and infants were cooked in ovens.   “Crowds of radical left activists have chanted death to America, and on our own streets in this country, and some public officials have refused to condemn them. Others have openly defended these acts on campus and the harassing and the intimidation and the threatening of innocent Jewish students simply because of who they are. They’ve called that peaceful protest, and some have even gone as far as calling for the state of Israel to be eliminated. These are words we expect from Ayatollahs in Iran, not American lawmakers, and not American students. And unsurprisingly, it has given way to threats and violence in a generation of students don’t feel safe in their own classrooms or where they live or where they worship. Let me say this very simply, no American of any color or creed should ever have to live under those kinds of threats. That is not who we are in this country.   “Sadly, Columbia’s administrators have chosen to let the threats, the fear, and the intimidation of the mob rule to overtake American principles like free speech and the free exchange of ideas and the free exercise of religion. They have co-opted First Amendment arguments to protect genocide and to elevate the voices of antisemitism. They have proven themselves to be incapable of achieving their basic responsibility, which is keeping students safe. We just can’t allow this kind of hatred and any antisemitism to flourish on our campuses, and it must be stopped in its tracks. Those who are perpetrating this violence should be arrested.   “And I’m here today joining my colleagues in calling on President Shafik to resign if she cannot immediately bring order to this chaos. As Speaker of the House, I’m committing today that the Congress will not be silent. As Jewish students are expected to run for their lives and stay home from their classes hiding in fear. In the House of Representatives, we’ve already acted to address antisemitism on campuses. We have passed a number of statutes to address this matter, and we call upon the US Senate to act upon our legislation.”   ###   

Tags: 
 Tweet
 Share

 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
April 26,Andy Biggs,R,Ariz.-5,Surveying Bidens Border Crisis in Lukeville and the Tohono Oodham Reservation,"April 29, 2024 For Immediate Release Contact: Taylor Haulsee   WASHINGTON — On Monday, Speaker Johnson released a statement following reports that the International Criminal Court, which has no jurisdiction over Israel, may issue arrest warrants for Israeli Prime Minister Benjamin Netanyahu and other Israeli officials.   “It is disgraceful that the International Criminal Court (ICC) is reportedly planning to issue baseless and illegitimate arrest warrants against Israeli Prime Minister Netanyahu and other senior Israeli officials.   “Such a lawless action by the ICC would directly undermine U.S. national security interests. If unchallenged by the Biden administration, the ICC could create and assume unprecedented power to issue arrest warrants against American political leaders, American diplomats, and American military personnel, thereby endangering our country’s sovereign authority.   “Instead of wrongly targeting Israel, the ICC should pursue charges against Iran and its terror proxies, including Hamas, for engaging in horrific war crimes.   “The Biden Administration must immediately and unequivocally demand that the ICC stand down and the U.S. should use every available tool to prevent such an abomination.”   ### 

Tags: 
 Tweet
 Share

 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,USDA home loan guarantees again,"            Rep. Chris Smith (R-NJ), the Dean of the New Jersey Congressional Delegation, delivered the following remarks today on the House Floor while leading the House of Representatives in a moment of silence to honor the late Rep. Donald Payne Jr. (D-NJ):


             “Mr. Speaker, my colleagues and I rise to convey our deepest sorrow on the passing of our good friend, six-term New Jersey Congressman Donald Payne Jr. of the 10th District.             We are grateful for his public service and offer our prayers and condolences to his wife Bea and their children, Donald III, Jack, and Yvonne.             Like his father before him—Congressman Donald Payne Sr.—Donald was a dedicated public servant who tirelessly and tenaciously worked to improve the lives of New Jersey families, especially the poor.             He was a kind and compassionate lawmaker who cared deeply for the people of his district, our state, the country—and those in need, especially the sick.             As a diabetic, he fought to lower the cost of insulin. He wrote the House-passed Removing Barriers to Colorectal Cancer Screening Act and the Amputation Reduction and Compassion (ARC) Act which would provide full coverage for screening tests for Peripheral Artery Disease (PAD) to help reduce amputations.             His TEST for Lead Act was designed to protect children from lead-contaminated drinking water in schools and he wrote the Homeland Security Interoperable Act that became law in July of 2015.             As Chairman and then-Ranking Member of the House Railroads, Pipelines, and Hazardous Materials Subcommittee, Donald helped lead the charge to improve America’s transportation infrastructure, played a key role in securing the Gateway project and was a powerful ally of Amtrak.             Donald Payne served two terms on the Newark City Council including as President and beginning in 2005, three terms as an Essex County Freeholder—now called County Commissioner.             Donald Payne Jr. will be deeply missed.” ### Chris has three offices dedicated to constituent services. Check out the location nearest to you: 2373 Rayburn House Office Building 
Washington, D.C. 20515 33 Washington Street
P.O. Box 728
Toms River, NJ 08754
 *Please call for an appointment. 1715 Highway 35 North, Suite 303
Middletown, NJ 07748 *Please call for an appointment."
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,NMHC visits,"The crisis along our southern border rages on because President Biden and Congressional Democrats are not taking it seriously. Throughout this Congress, I have continually fought to end President Biden’s open border policies. On May 11, 2023, I joined my House colleagues in voting to pass H.R. 2, the Secure the Border Act. This bill is the strongest border security measure to pass either chamber of Congress in modern history. This bill has been sitting on Chuck Schumer’s desk for nearly a year. On Saturday, the House had the opportunity to pass meaningful border security and sadly Democrats again rejected this measure. H.R. 3602, the End the Border Catastrophe Act, would resume border wall construction, increase the number of Border Patrol agents, reinstate the Remain in Mexico policy, and end catch-and-release policies, all very similar to provisions in H.R. 2. Additionally, this measure added language to reimburse states for costs they have incurred attempting to secure the border because the Biden Administration failed to do so. Unfortunately, while House Republicans supported this commonsense measure, the bill failed to get the two-thirds vote required to pass as a suspension. All but five Democrats voted against this effort to secure the border. Since President Biden took office, there have been 9.2 million encounters of individuals attempting to illegally enter our country with over 7.6 million of those encounters happening along our southern border. On top of that astronomical number, there have been over 1.8 million known gotaways, meaning individuals who illegally entered the U.S. and were not stopped by border patrol. Last month alone, the U.S. Customs and Border Protection (CBP) recorded 189,372 encounters at the southwest border. This includes an individual from Lebanon who admitted to being a Hezbollah terrorist and having intentions of making a bomb. President Biden refuses to address this crisis, and Senate Democrats refuse to help House Republicans legislatively force his hand. Border security is a matter of national security, and we must act immediately. If you need assistance navigating a federal agency, please contact my office in Holland at (616) 251-6741 or in Portage at (269) 569-8595. See the latest happenings in the 4th District by following me on my Facebook, Twitter, and Instagram social media channels. I encourage you to join the conversation! Today marks an important day in our history. 79 years ago, the United States and Allied Forces accepted the unconditional surrende... My prayers go out to the residents of Portage and all of the areas impacted by the tornados and storm damage that hit Southwest Mi... Happy Teacher Appreciation Day! I’m grateful to all of our teachers for the hard work and dedication they pour into their classroo... Holland 170 College Ave. Suite 160
Holland, MI 49423
T (616) 251-6741
F (771) 200-5821
 Portage 5228 Lovers Lane Suite 108 Portage, MI 49002
T (269) 569-8595
F (771) 200-5821
 Washington, DC 2232 Rayburn HOB
Washington, D.C. 20515
T (202) 225-4401
F (202) 226-0779
"
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,"Congratulations, Gwanpil Son","Every April, we celebrate Second Chance Month, an opportunity to remember those in our community who are reentering society after involvement in the criminal justice system and consider the unique obstacles they face. America is the land of opportunity and second chances. Previously incarcerated individuals who take accountability for their actions and improve their lives should be able to count on our support. Approximately 600,000 people are released from state and federal prisons each year. Upon release, many of these folks do not have basic resources like a savings account, a driver’s license, a primary care provider, or a job. The latest large scale and long-term recidivism study conducted by the Department of Justice’s Bureau of Justice Statistics (BJS) reported that “66 percent of prisoners were arrested within three years and, 82 percent were arrested within ten years.” Another BJS study tracked employment for over 51,000 individuals released from federal prisons in 2010. One-third of those individuals were not employed at all during that four-year period. I firmly believe that one of the most impactful things we can do to help these individuals break the cycle of crime and violence is to help connect them to a good job. I have seen firsthand how a chance at employment can help turn a life around. Prior to serving in Congress, I owned and operated a construction firm, which participated in work release programs and was successful in helping those individuals find full-time employment. Holding down a job is a key aspect of reconnecting justice-involved individuals with their larger communities. It gives individuals a sense of purpose, reaffirms their self-worth, and brings stability to their families. We have a strong federal tool, the Workforce Innovation and Opportunity Act (WIOA), that we can use to improve federal efforts to assist these individuals in finding a job. WIOA provides the framework for the nation’s workforce development programs and focuses on helping eligible workers connect with the training they need to reskill and upskill to meet the needs of our economy. WIOA is overdue for reauthorization, and the U.S. House of Representatives recently passed legislation that would inject new funds into the program and implement measures to ensure training leads to family-sustaining jobs for workers. This reauthorization package included my bill, the Workforce Reentry Act, legislation which would prompt innovation and improvement in the reentry of justice-involved individuals into the workforce through competitive grants, rigorous evaluation, and the dissemination of best practices. Since 2005, the Department of Labor has been operating the loosely structured Reentry Employment Opportunities program, awarding funding to organizations providing mentoring, job training, and case management services. However, independent evaluations have found this haphazard approach has produced minimal impacts on recidivism and labor market outcomes. My bill would codify the Reentry Employment Opportunities program and implement several reforms to ensure that we are pursuing evidence-based approaches that will connect eligible individuals with employers in their communities in in-demand industries. Moreover, grantees will be held to rigorous performance outcomes on participants’ employment, earnings, and credential attainment. This will give participants the assurance that the WIOA training they receive, prior to and after their release from prison, will lead them to stable employment that can sustain them in the days, weeks, months, and years after their reentry. The U.S. House of Representatives’ WIOA reauthorization package, A Stronger Workforce for America Act, is transformational legislation that is strengthened by the provision to codify and renew the Reentry Employment Opportunities program. I call on the U.S. Senate to take up this legislation without delay so that thousands of reentering citizens can have access to lifechanging workforce development programs. While the observation of Second Chance Month will soon come to a close, let’s commit ourselves all year to make good on our promise to Americans with experience in the justice system and offer them the best tool we can for success: a stable job. These opportunities will lead to sustainable career paths and give these individuals and their families a true second chance. Rep. Lloyd Smucker represents Pennsylvania’s 11th District, which includes Lancaster and southern York counties, and serves on the House Budget Committee, the House Committee on Ways and Means, the House Committee on Education and Workforce, and the Joint Economic Committee. Toll-free: 1-888-217-0231 Wednesdays from 8:30am-4:30pm
Appointments strongly encouraged. Thursdays from 8:30-4:30pm
Appointments strongly encouraged. Monday - Friday 8:30 a.m. - 4:30 p.m."
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,"Welcome back, 4-H"," 
      Image     916-786-5560202-225-2511Email Me This bill is a collection of several minor bills I support, including greater reporting of Fentanyl traffic and Iranian human rights violations, and tightened sanctions on Iranian oil and weapons exports.  But it also includes two major provisions that I cannot support.  One is the ban on TikTok, which I believe is an unconstitutional violation of the First Amendment.  The other is the REPO act, that would seize sovereign Russian assets.  This would be an unprecedented peacetime act and runs a high risk of discouraging foreign investments in the United States, particularly U.S. Treasury notes.  These provisions set very dangerous precedents. Subscribe   "
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Preserving language and culture," April 29, 2024 The Honorable Mike JohnsonSpeaker, U.S. House of RepresentativesH-232, The Capitol I write with respect to the need to urgently consider comprehensive legislation designed to address the dangerous rise in antisemitism across America. In May of 2023, President Joe Biden released the first-ever U.S. National Strategy to Counter Antisemitism, which outlines important executive action taken by the administration and makes legislative recommendations at every level of government. Quite disturbingly, subsequent to the release of the Biden administration’s strategic blueprint and in the aftermath of the heinous October 7 attack by Hamas, antisemitic incidents have risen to historic levels. Other than taking up resolutions that are symbolically meaningful, the House has failed to consider comprehensive legislation to combat antisemitism. We have a moral obligation to do much more. To that end, the Co-Chairs of the House and Senate Bipartisan Task Forces for Combating Antisemitism, including Representatives Kathy Manning and Chris Smith, introduced bipartisan legislation in early April that addresses the crisis of antisemitism and aggressively confronts the startling threats against Jewish people in America. The Countering Antisemitism Act would strengthen efforts to combat antisemitism in the U.S. and implement policies designed to keep Jewish communities safe. It supports implementation of the National Strategy to Counter Antisemitism and helps make its policies permanent. H.R. 7921 establishes a National Coordinator in the White House to oversee a new Interagency Task Force to Counter Antisemitism focused on combating domestic antisemitism and ensuring coordination among the federal agencies in fighting this terrible hatred. The legislation also requires the FEMA Administrator to guarantee the agency has the resources needed to operate the Nonprofit Security Grant Program (NGSP) which provides funding to synagogues, Jewish schools and other institutions for physical security enhancements. In the national security supplemental that Congress passed and the President signed into law last week, we included $400 million for the NGSP, underscoring this urgent need. In addition, this bill ensures the administration reports to Congress on implementation of federal strategies to combat antisemitism and designates a senior official to advise and oversee the Department of Education’s efforts to fight antisemitism on college campuses. There is nothing scheduled on the floor this week that would accomplish the concrete, thoughtful strategies outlined by the Biden administration, set forth in the legislation and echoed by leading Jewish organizations across the country. The effort to crush antisemitism and hatred in any form is not a Democratic or Republican issue. It’s an American issue that must be addressed in a bipartisan manner with the fierce urgency of now. In this spirit, I strongly urge you to schedule a vote on the bipartisan Countering Antisemitism Act forthwith. Sincerely, Hakeem JeffriesDemocratic Leader ### Subscribe to our e-newsletter that provides updates
					on important issues, my work in the Congress and what's
					happening in our district."
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Keeping up with Guam Vet Center,"April 25, 2024 One-Third of Federal and State Prisons Located Within Three Miles of Toxic Superfund Site  Text of Resolution (PDF) BOSTON – Following their March 29 visit to Massachusetts Correctional Institution-Norfolk, Congresswoman Ayanna Pressley (MA-07) and Senator Edward J. Markey (D-Mass.), chair of the Senate Environment and Public Works Subcommittee on Clean Air, Climate, and Nuclear Safety introduced the Declaration of Environmental Rights for Incarcerated People. This resolution affirms the human right of nearly two million people currently incarcerated in the United States to a healthy and safe environment and to advocate for protecting and improving their environmental health. The resolution specifically recognizes decarceration as the principal strategy to address environmental health harms of criminal legal systems.  “Everyone has a right to clean air, water and living environment, including people who are currently incarcerated,” said Rep. Pressley. “As we work to dismantle the racist and harmful system of mass incarceration, we must confront the environmental injustices that define carceral settings and affirm the human dignity of folks behind the wall. Proud to introduce this resolution in partnership with Senator Markey, advocates, and those closest to the pain.” “Our criminal legal system’s decision to put millions of people behind bars has torn apart families, destabilized communities, and allowed others to profit from mistreating other human beings,” said Senator Markey. “As we continue to fight for decarceration, we must also give currently incarcerated people the right to a healthy and safe environment. I look forward to continuing to lift up the voices of incarcerated individuals and ensure they have opportunities to work with lawmakers to translate their lived experiences into truly effective solutions.” “For persons with lived experience, this resolution marks the beginning of connecting the intersections between carceral states of being and humanizing incarcerated populations,” said Michael L. Mauney II, African American Coalition Committee Community Outreach Director and DeeperThanWater Coalition organizer. “The passing of this resolution would symbolize an effort to eradicate the exception clause mentioned in the Thirteenth Amendment of the United States Constitution. Incarcerated populations support efforts to humanize us and to decarcerate and end mass incarceration.” The lawmakers’ resolution would ensure such rights as:   The resolution text was developed in partnership with the African American Coalition Committee and other incarcerated leaders at MCI-Norfolk. During Congresswoman Pressley’s and Senator Markey’s March 29 visit to the facility, incarcerated individuals shared testimonials of living through a water quality crisis that has gripped the facility since 2011.   Prisons and other carceral facilities greatly increase the exposure of incarcerated people, staff, and surrounding communities to toxic and dangerous conditions. These and other threats disproportionately harm vulnerable populations, including Black Americans, Indigenous people, Latine, and LGBTQ+ individuals, who are more likely to be incarcerated. The health impacts of incarceration are so severe that every year behind bars takes an average of two years off an individual’s life expectancy. The Declaration of Environmental Rights for Incarcerated Individuals is endorsed by the American Civil Liberties Union (ACLU), the Prison Policy Initiative, Citizens United for Rehabilitation of Errants (CURE), and DeeperThanWater.  “Environmental health and safety are critically important, both for incarcerated people and for those who work, volunteer, and visit in our nation’s prisons,” said David Fathi, Director of the American Civil Liberties Union National Prison Project.  “The Resolution is an important step toward ensuring environmental justice for all.”  “We at Prison Policy Initiative strongly support a Declaration of Environmental Rights for Incarcerated People. This Declaration speaks to both the devastatingly real negative impacts of a hostile prison environment on an individual’s physical and mental health and the inalienable human right of people in prison to access clean water and air. We are proud to support this recognition of incarcerated people’s right to be free of a toxic environment,” said Sarah Staudt, Policy & Advocacy Director at the Prison Policy Initiative.  “This resolution is a step in the right direction.  It will give criminal justice agencies, especially prisons, the obligation to rehabilitate,” said Charles Sullivan, Director of CURE.  “We know that environmental injustice is one of the many things that make carceral settings toxic. Through that lens, this resolution makes clear that decarceration is the strongest and most important strategy we have to protect the rights of incarcerated people and to ensure that our communities are safe and healthy,” said Christine Mitchell, Sc.D., DeeperThanWater Coalition organizer. A copy of the resolution text can be found here. ### Washington DC Office 402 Cannon HOB
Washington, DC 20515 Phone (202) 225-5111
Fax (202) 225-9322 District Office 1295 River Street
Hyde Park, MA 02136 Phone (617) 850-0040
Fax (202) 225-9322"
April 29,Gregorio Kilili Camacho Sablan,D,Northern Marianas Islands,Visiting students at Marianas HS,"U.S. Congressman Washington, D.C. - Congressman Michael C. Burgess, M.D. (R-TX), Chairman of the Budget Committee Health Care Task Force, joined House Budget Committee Chairman Jodey Arrington (R-TX) in sending a letter to Comptroller General Gene Dodaro of the U.S. Government Accountability Office (GAO) requesting an investigation into the Center for Medicare and Medicaid Innovation (CMMI) and its effect on the federal budget.

Click HERE for the full letter.

On the costly effect of CMMI on the federal budget:

Increases in federal spending on health care in the United States—including Medicare and Medicaid—continue to exert significant pressure on the federal budget. At the same time, studies have found that higher levels of spending do not reliably lead to enhanced quality of care.

In 2010, the nonpartisan Congressional Budget Office (CBO) estimated CMMI would result in net savings of $1.3 billion over the ten-year budget window. A September 2023 report from CBO revised the agency’s prior analysis, estimating CMMI’s activities increased direct spending by $5.4 billion in Medicare, between 2011 and 2020.

In addition, CBO now currently projects that CMMI’s activities will increase net federal spending by $1.3 billion in Medicare, over the center’s second decade, which extends from 2021 to 2030.

On requesting GAO examine CMMI’s use of dedicated funding and assessment of its performance:
   Background:
Established by Obamacare with the goal of saving taxpayer money and improving the quality of care for beneficiaries, CMMI has failed to deliver on its mandate. 

In 2010, the Congressional Budget Office (CBO) projected that CMMI would produce net savings over the 10-year budget window. CBO revised its analysis last year, finding that CMMI is not saving tax dollars but rather has increased federal spending by billions of dollars.

The letter follows a recent HCTF member roundtable focused on examining why CMMI is adding billions to the national debt, rather than generating budgetary savings as the program intended.


 ### Get the most up to date news from me on Twitter."
