Date,Member,Party,State / District,Title,Press Release,Caucus
April 16,Nikki Budzinski,D,Ill.-13,"Budzinski, Bost Announce $10.3 Million Navy Contract for the Belleville Shoe Manufacturing Company","WASHINGTON, DC – Today, the United States Government Accountability Office (GAO) released a long-awaited report: “Public Health Preparedness: Mpox Response Highlights Need for HHS to Address Recurring Challenges.” Beginning in July 2022, Congressman Ritchie Torres (NY-15) was the leading Congressional voice urging the GAO and HHS to do such a report, and he is grateful to the GAO for tackling this crucial issue head-on. As a Co-Chair of the Congressional Equality Caucus and the sole LGBTQI+ member of Congress from New York City — which was the epicenter of the Mpox outbreak — Rep. Torres has fought tirelessly to ensure that his community’s vital health needs are not forgotten. In GAO’s report, they concluded that the Department of Health and Human Services (HHS) lacks a cohesive, department-wide strategy for learning from past public health emergencies to improve future responses. The GAO’s findings reveal a significant gap in the coordination among HHS’s component agencies, resulting in missed opportunities for leveraging collective experiences and insights. This fragmentation impedes the effectiveness of public health emergency preparedness and response. In addition, the report found that HHS’s ability to apply lessons and learn following an emergency response was further limited due to not always having all relevant stakeholders involved when identifying challenges and associated solutions. The report also identified shortcomings in risk communication efforts by HHS and the Centers for Disease Control and Prevention (CDC), particularly in reaching and clearly communicating risks to the most vulnerable populations. This includes the inadequacy of Mpox communication efforts in terms of inclusivity and the limitations faced by non-English speakers due to insufficient translation of critical public health information. In response to the report’s conclusions, Rep. Torres is today introducing the Coordinated Agency Response Enhancement (CARE Act). This legislation, if enacted, would: Require the Secretary of HHS to develop and implement a coordinated, department-wide after-action program that encourages collaboration between HHS’s component agencies, including integrating the existing public health emergency after-action programs of these component agencies. The after-action program should include relevant external stakeholders involved in each public health emergency response — such as other federal agencies, jurisdictions, and nongovernmental partners — when identifying challenges and associated solutions. Require the Secretary of HHS to direct the CDC and other relevant HHS agencies to develop and implement a comprehensive risk communication strategy that is inclusive and culturally sensitive. This strategy would be designed to clearly identify at-risk populations during public health emergencies and provide targeted, understandable, and accessible information to prevent the spread of diseases. The act would also require the translation of public health communications into multiple languages. Implementing a department-wide after-action program, coupled with a commitment to inclusive and culturally sensitive risk communication, would significantly strengthen the nation’s capacity to manage public health emergencies. By learning from past experiences and ensuring clear, accessible coordination, HHS can better protect all communities, particularly the most at-risk populations, against future health crises. This bill represents a critical step forward in our ongoing efforts to enhance public health emergency preparedness and response capabilities across the United States. On the report’s findings and the CARE Act, Rep. Torres released the following statement: “As I have long suspected, today’s report makes abundantly clear that our government’s disease response apparatus is not properly equipped to successfully coordinate and improve its systems and processes over time. In the aftermath of the COVID-19 pandemic and Mpox outbreak, it’s time we radically change our federal approach to public health. Marginalized and at-risk communities cannot afford to bear the brunt of another public health emergency, desperately waiting for the government to get its act together. I am urging my partners at HHS and across the Biden administration to read through the full report and implement a set of clear policies in response to mitigate future crises, and this is exactly what I intend to pursue with the CARE Act.” Additional relevant materials:CBS News: Rep. Ritchie Torres calls for investigation of federal mpox response (July 18, 2022)News12: Rep. Torres: Federal government ‘failing’ to respond to mpox outbreak (July 19, 2022)NY1: Torres wants to investigate federal mpox response (July 19, 2022)PBS: Video Interview with Rep. Ritchie Torres on the federal response to Mpox (July 27, 2022)The Hill: House Democrats ask for review of US mpox response (August 1, 2022)“A trio of House Democrats on Monday requested that the Government Accountability Office (GAO) review the ‘adequacy of the Federal response to the mpox outbreak.’ In a letter addressed to U.S. Comptroller General Gene Dodaro, Democratic Reps. Bennie Thompson (Miss.), Richie Torres (N.Y.) and Val Demings (Fla.) asked that the government watchdog agency conduct a review in order to ‘make recommendations for ongoing and future preparedness and response efforts.’ ‘We are concerned that the pace of the Federal response to mpox has enabled the virus to spread for two months and delays in distributing tests and vaccines have harmed efforts to contain the virus,’ the House members said, noting that it took months for millions of Jynneos vaccine doses to be approved for distribution from a plant in Denmark.”GAO Report  Today, U.S. Representative Ritchie Torres (D-NY), along with Rep. Jennifer González-Colón (R-PR) and Rep. Haley Stevens (D-MI), introduced the Healthy Affordable Housing Act to address the dire shortage of safe, affordable housing units for American families. The U.S. is currently in need of 7.3 million additional affordable housing units for families most in need.  “There […] Yesterday, the following interest groups and companies sent letters to Speaker Mike Johnson, Minority Leader Hakeem Jeffries, the House Energy and Commerce Committee, and the Senate Commerce Committee in support of Congressman Ritchie Torres (NY-15)’s bill, H.R. 1797, the Setting Consumer Standards for Lithium-Ion Batteries Act: Consumer Reports, Grubhub, International Association of Fire Chiefs (IAFC), Chamber of Progress, […] WASHINGTON, DC – Today, Congressman Ritchie Torres (NY-15) sent a letter to United States Postmaster General Louis DeJoy, urging him to reconsider recently announced price increases to stamps: “I am writing to express strong opposition to the US Postal Service’s proposal for raising the price of stamps from 68 cents to 73 cents. An 8% rise in the cost […] Washington, DC 1414 Longworth House Office Building  Washington, DC 20515 (202) 225-4361 Bronx 540 E Fordham Rd. Suite 2A Bronx, NY 10458 (718) 503-9610 Mon–Fri, 10am–4pm. No walk-ins. Please call for assistance.  Proudly representing the 15th District of New York. Accessibility Project Requests Privacy",New Democrat Coalition
April 16,Nikki Budzinski,D,Ill.-13,Budzinski Continues Call on President Biden to Make Springfield Race Riot Site a National Monument,"Washington, D.C. – Congressman Rudy Yakym (IN-02) issued the following statement after voting for H. Res. 1143, a bipartisan resolution condemning Iran’s unprecedented drone and missile attack on Israel: “Iran’s terrorist attacks on Israel last weekend were unprecedented, unjustified, and need to be condemned in the strongest possible terms. Fortunately, 99 percent of the rockets fired at Israel were intercepted, which is a testament to the Iron Dome’s efficacy and the importance of U.S. security assistance for Israel. “The Iranian regime has repeatedly stated they want Israel wiped off the map. History teaches us that we need to take these provocations extremely seriously. I am glad the House came together today to speak with one voice condemning Iran’s brazen terrorist attacks and to reaffirm our unwavering support for our friend and ally Israel.” Background: Washington, D.C. – At a House Budget Committee hearing today, Congressman Rudy Yakym (IN-02) called out the security, humanitarian, societal, and financial costs of President Biden’s border crisis. In his remarks, Rep. Yakym highlighted how the Biden Administration’s immigration policies and executive actions have led to unsustainable levels of illegal immigration, how the Administration has repeatedly […] John Glenn High School Student’s Artwork Will Be Displayed In U.S. Capitol for a Year South Bend, Ind. – Today, Congressman Rudy Yakym (IN-02) announced Nina Foresman, a student at John Glenn High School in Walkerton, as the winner of the 2024 Congressional Art Competition for Indiana’s Second District. Nina’s winning artwork, “Goat,” will be […] Washington, D.C. – This week, Congressman Rudy Yakym (IN-02) led his colleagues in sending a bipartisan letter to House Appropriations Defense Subcommittee Chairman Ken Calvert and Ranking Member Betty McCollum urging them to maintain funding of the U.S. Army Light Tactical Vehicle (LTV) modernization strategy in this year’s Department of Defense appropriations package. AM General, which […] Washington, DC 349 Cannon House Office Building  Washington, DC 20515 (202) 225-3915 Mishawaka 2410 Grape Road Suite 2A Mishawaka, IN 46545 (574) 204-2645 8:00 a.m. – 5:00 p.m. ET; Monday-Friday Rochester 709 Main Street  Rochester, IN 46975 (574) 223-4373 Tuesdays, 8:00 a.m.– 12:00 p.m. ET; Thursdays, 8:30 a.m. – 5:00 p.m. ET   Proudly representing the 2nd District of Indiana. Accessibility Privacy",New Democrat Coalition
April 16,Nikki Budzinski,D,Ill.-13,Budzinski Honors Life of Dr. William Patterson on House Floor,"(WASHINGTON) – On Tuesday, Congresswoman Nikema Williams (GA-05), Vice Chair of the Democratic Women’s Caucus and a member of the Pro-Choice Caucus led a roundtable on protecting access to contraception. The roundtable was organized by the Democratic Women’s Caucus and the Pro-Choice Caucus, with Representative Judy Chu (CA-28), Pro-Choice Caucus Contraception, Family Planning, and Education Task Force Chair and Representative Kathy Manning (NC-06), DWC Policy Co-Chair & Lead of the Right to Contraception Act serving as roundtable co-leads with Congresswoman Williams. The roundtable took place during Black Maternal Health Week. Joining the Congresswoman for the roundtable were some of the country’s leading healthcare advocates: Rachel Fey, Vice President, Policy & Strategic Partnerships, Power to Decide; Dr. Michael Belmonte, Physicians for Reproductive Health; Dr. Allison Hill, PharmD, RPh, Director of Practice Implementation & Professional Affairs, American Pharmacist Association; and Dr. Contessa Metcalfe, Owner, Chastain Integrative Medicine, as seen on Bravo’s “Married 2 Medicine.”    Congresswoman Nikema Williams (GA-05), Vice Chair of the Democratic Women’s Caucus and a member of the Pro-Choice Caucus said: “We have seen extreme MAGA Republicans launch an attack on women’s rights, now politicizing personal matters that really should be between a woman and her doctor. But as Vice Chair of the Democratic Women’s Caucus, I have had the privilege to work on a number of legislative solutions to combat these outdated and invasive policies. I was proud to partner with Congresswoman Manning last year to reintroduce the Right to Contraception Act, legislation that would codify and strengthen the right to contraception, which the Supreme Court first recognized more than half a century ago in its Griswold v. Connecticut decision. And I am also a proud cosponsor of Congresswoman Escobar’s Access to Contraception for Servicemembers and their Dependents Act. Because as we will touch on today, all women are under attack, even the ones who risk their lives for our country to ensure our safety.”  CONTACT: PressGA05@mail.house.gov Congresswoman Nikema Williams proudly serves Georgia’s Fifth Congressional District on the exclusive Financial Services Committee. She is a champion of voting rights and builds on the Fifth District’s legacy as the cradle of the civil rights movement as co-chair of the Congressional Voting Rights Caucus. Congresswoman Williams is committed to closing the racial wealth gap and ensuring the promise of America for all–regardless of your ZIP code or bank account. ### (WASHINGTON) – Today, Congresswoman Nikema Williams (GA-05) issued the following statement after voting no to tabling the latest Motion to Vacate Speaker Mike Johnson: “Earlier today, Republican House Speaker Mike Johnson refused to say he would accept the results of the 2024 election, effectively saying he is willing to silence our voices at the ballot box. […] (WASHINGTON) – On Wednesday, the day Florida’s abortion ban went into effect, Congresswoman Nikema Williams (GA-05), Democratic Women’s Caucus (DWC) Vice Chair and a member of Congressional Pro-Choice Caucus (PCC) joined a press call on the far-reaching impact of the ban. The press call included DWC Chair Rep. Lois Frankel and PCC Freshman Representative Maxwell Frost […] (WASHINGTON) – Today, Congresswoman Nikema Williams (GA-05), a member of the House Bipartisan Task Force for Combating Antisemitism issued the following statement after voting no on H.R. 6090:   “We are seeing a distressing rise in antisemitism in America. Republicans’ response to the urgency of the moment is passing a messaging bill that will not fulfill […] Washington, DC 1406 Longworth House Office Building  Washington, DC 20515 (202) 225-3801 Atlanta 100 Peachtree Street Northwest Suite 1920 Atlanta, GA 30303 (404) 659-0116 Fax: (404) 331-0947  Proudly representing the 5th District of Georgia. Accessibility Privacy",New Democrat Coalition
April 17,Nikki Budzinski,D,Ill.-13,Budzinski Introduces Bipartisan Bill to Halt USPS Processing Facility Consolidations,"
Reference ID: 18.d03a2217.1715273175.2bdff831
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",New Democrat Coalition
April 17,Nikki Budzinski,D,Ill.-13,Budzinski Calls on House GOP to Preserve the Affordable Connectivity Program,"
Reference ID: 18.d03a2217.1715273175.2bdff9c5
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",New Democrat Coalition
April 18,Nikki Budzinski,D,Ill.-13,Budzinski Introduces Bipartisan Legislation to Address Gap in EPA’s Year-Round E15 Rule,"
Reference ID: 18.d03a2217.1715273175.2bdffb33
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",New Democrat Coalition
April 17,Michael Cloud,R,Tex.-27,RELEASE: Rep. Cloud Calls on White House to Remove Ban on LNG,"
Reference ID: 18.d03a2217.1715273175.2be002b6
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Freedom Party
April 17,Michael Cloud,R,Tex.-27,"RELEASE: Rep. Cloud Expresses Support for Israel, Aid Package with Offsets","
Reference ID: 18.d03a2217.1715273175.2be004ac
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Freedom Party
April 19,Michael Cloud,R,Tex.-27,RELEASE: Rep. Cloud Opposes Rule on Foreign Aid Without Border Security,"
Reference ID: 18.d03a2217.1715273176.2be00656
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Freedom Party
April 17,Rashida Tlaib,D,Mich.-12,"Tlaib, Dingell Introduce Resolution Recognizing Arab American Heritage Month","
Reference ID: 18.d83a2217.1715273186.754a8ea
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 16,David Rouzer,R,N.C.-7,Rouzer Joins Congressional Escort Committee for Joint Session with Japanese Prime Minister Kishida Fumio,"WASHINGTON — On Wednesday, Speaker Johnson announced the House response to the Senate’s national security supplemental legislation. This legislation is comprised of four separate bills and provides resources to Israel, Ukraine, and the Indo-Pacific, as well as measures to counter adversaries in each region. “This legislation also includes enhanced oversight and accountability of U.S. taxpayer resources and includes upgrades to the Senate bill like the REPO Act and transferring portions of Ukraine aid into a loan. What we’ve done is taken the Senate supplemental bill, and we’ve improved the process and the policy, and that’s a really important thing,” Speaker Johnson said. Conservatives, faith leaders, advocacy organizations strongly support the legislation: “AIPAC strongly suppots Speaker Johnson’s work to bring important national security bills to the floor, and we urge every House member to vote for crucial security aid to our ally Israel,” —  AIPAC. “The Israel Supplemental Appropriations Act provides critical support to a key ally facing our common enemy, Iran. This is especially true now that Iran has attacked Israel directly, not just through proxies. We call upon all Members of Congress to support the rule & the bill,” — Coalition for Jewish Values. “We urge all members to support the rule allowing the foreign aid bill to come to the floor so we can deliver critical emergency military assistance to Israel. Don’t tell us you stand with Israel, show us,” — Christians United for Israel. “In the aftermath of the October 7th Hamas massacre and Iran’s direct attack against Israel’s homeland, these votes are an especially critical test of support for the US-Israel alliance. The time to act is now,” — Republican Jewish Coalition. “We welcome the release of the House of Representatives' security supplemental package, which includes a number of vital measures that AJC has long advocated for, such as security assistance to our allies Israel and Ukraine, and funding for the Nonprofit Security Grant Program to keep Jewish communities in the U.S. safe. We urge its swift passage,” — American Jewish Committee. “It is absolutely critical that Christians in America and around the world stand with Israel, protect Israel's right to defend itself, and work to contain this conflict so that it doesn't threaten global peace. We stand with Israel,” — Family Research Council. “The leadership of Speaker Mike Johnson has been crucial in defending life, religious freedom, fiscal responsibility, and important allies like Israel. He always stands strong and we're proud to stand with him,” — Center for Urban Renewal. “As former Secretary of State and former Vice Chief of Staff of the Army we write at a pivotal moment in our nation’s history to applaud your efforts to secure vital support to America’s allies and to strengthen America’s defenses,” — Former Secretary of State Mike Pompeo & Vice Chief of Staff to the Army Jack Keane. “Speaker Mike Johnson is a man of incredible character, who has unequivocally shown his support of protecting the unborn, the family, and standing strong with one of our greatest allies, Israel. In light of Iran’s unprecedented attack against Israel last week, we must ensure that every Republican is supportive of the Speaker’s efforts to bring Israel funding to the finish line as quickly as possible. CWALAC supports Speaker Johnson and his efforts to support Israel,” — Concerned Women for America LAC. “Last week, the ERLC sent a letter to Speaker Johnson & all members of Congress urging them to pass critical support for Ukraine. While there are some political headwinds, I’m grateful Mike Johnson is moving forward to help Ukraine defend itself against Putin’s illegal invasion,” — Brent Leatherwood, Ethics and Religious Liberty Commission President. “This supplemental package includes bills that the CCP, Russia, and the Islamic Republic of Iran all vehemently oppose, it will be devastating to our enemies if this passes,” — POLARIS. “A resilient U.S. DIB and a strong network of U.S. allies and partners form the foundation of U.S. national deterrence in a rapidly evolving strategic environment. On behalf of NDIA’s members, I commend the House leadership for supporting these necessary investments and urge swift passage,” — David Norquist, National Defense Industry Association President. “The bill to force China to divest from TikTok may soon be on the President’s desk. Thank you Speaker Johnson for your leadership,” — Foundation for American Innovation. “FDD Action endorses the supplemental funding package put forward today by Speaker Mike Johnson. We urge members of Congress on both sides of the aisle to support it along with the underlying rule. America’s adversaries are watching. The authoritarian axis of the Islamic Republic of Iran, Russia, and the Chinese Communist Party are challenging U.S. interests like never before. It is imperative that both chambers of the Congress act with urgency to provide critical support to Israel, Taiwan, and Ukraine. These nations are on the front lines of a generation-defining fight for freedom and prosperity, and their success is inextricably linked to our own national security. This legislation paves the way for targeted investments with strong oversight in our allies and partners that will enhance their military capabilities, deter America’s adversaries, and contain the spread of even costlier conflicts,” — Foundation for Defense of Democracies Action. “In supporting U.S. assistance to Ukraine, Israel, and allies in the Indo-Pacific, Speaker Johnson channels President Ronald Reagan. Speaking to Congress in 1985, President Reagan declared, ‘We must stand by all our democratic allies. And we must not break faith with those who are risking their lives,’” — Ronald Reagan Institute. “We should all call our congressmen and urge them to pass aid to stop Putin, to help Israel, to strengthen Taiwan and to close the border. I am especially glad that the REPO act has been included to use Russian money to pay for defeating Putin,” — Former U.S. House Speaker Newt Gingrich. “America is the leader of the free world and I would call on all my old friends in the Congress, Republicans and Democrats alike, to rally around Speaker Johnson as he brings legislation to the floor to do America’s part to renew our support for Ukraine, for Israel, for Taiwan, and for freedom in the world,” — Former Vice President Mike Pence.",Main Street
April 18,David Rouzer,R,N.C.-7,Rouzer Honors National Lineman Appreciation Day with Bipartisan Congressional Resolution,"My first and most important job is serving you. Here are some ways I can help. Congressman Rob Wittman (R-VA), vice chairman of the House Armed Services Committee and chairman of the Tactical Air and Land Forces Subcommittee, held a subcommittee hearing to review the fiscal year 2025 budget request for the Department of Defense’s fixed-wing tactical and training aircraft programs. “While our focus remains on the National Defense Strategy, which prioritizes China as our primary threat, I'm concerned about the lack of clarity in defining our tactical fighter force structure and capabilities,” said Chairman Wittman. “The persistent decrease in fighter force structure and the challenge of delivering affordable replacement aircraft are alarming. Additionally, uncertainties persist in aircraft procurement quantities for the Air Force, Navy, and Marine Corps, particularly regarding the F-35 program. Despite the F-35's promise as the most advanced fighter aircraft, we must expedite TR-3 hardware and Block 4 software deployment to address ongoing challenges.” 
(Watch the full hearing) The hearing addressed the clarity and direction of the U.S. military's currently declining tactical fighter force structure, particularly in light of the National Defense Strategy's emphasis on China as a pacing threat. The subcommittee heard testimony from: Chairman Wittman:  
 “We understand the need to modernize. The key is, we always go through these transitions where we get rid of existing platforms, regardless of their limitations and capabilities and things that they can and cannot do for the promise of new capability somewhere out in the future. And I tell folks ‘All of our dreams come through outside the Future Years Defense Program (FYDP).’ ... We have got to find a way to get those curves to intersect as far as retiring older capability [and] bringing online newer capability. It always seems like there's a bathtub there we have to swim in for years.
 “I know we've had a lot of conversations about F-35, TR-3. It was bitterly disappointing to myself, and other committee members, that we had to learn of another shift to the right to Q3, not directly from the contractor, but from an earnings call.
 “Can you give us your perspective on how you see the path forward? Because the F-35 is it. We are all in on this aircraft. It has to perform. The capabilities that TR-3 brings to the table are necessary and it has to occur at the speed of relevance.
 “I'm not looking to place blame. I think everybody is part of this. Congress has to be part of this as far as not just understanding what happened, but what the solution is going forward. How do you see things going forward to make sure we get back to where we need to be?”
 Lt. Gen. Schmidt: 
 “Honestly, sir, I am getting tired of over-promising and under-delivering, and I need to change that narrative. All that said, just saying it's going to take longer is not going to be satisfying and all the things we talked about earlier with a true digital infrastructure, being a state-of-the-art program for literally the biggest fighter program in the world. It would be unacceptable to be anything else. But I don't feel like that's where we are today. The discussions from industry are all we can do in the future on future programs. There is no future program that is bigger than this program. And so, getting after the development side is the thing that bothers me the most every single day. And those are the things that we're trying to do about it, but I need some help from industry, sir.” 
 Chairman Wittman: 
 “I think things are finally starting to move in the right direction. I appreciate your assertion that we have to have the best on your team there at the Joint Program Office. I appreciate the conversation we had a few days ago to give Lockheed credit that they're saying we're going to make sure we bring subject matter experts across the enterprise because there are other aspects of what Lockheed does that use digital twin technology, that use digital design, that use advanced methods to make sure that we develop systems at the speed of relevance to make sure you get information quickly into comparison computer models to make sure we make those software upgrades. Those are things that have to happen. 
 “Lockheed has made the commitment to do that … the key now is execution.
 “I tell folks, ‘We can talk all about the ground that we've already plowed and talk about how we got here. But the key is, what are we going to do on the path forward?...’I do want to ask the next step forward, so as we begin to deliver these TR-3 configured aircraft, are you confident as to when they are delivered as to where they will be operationally? And will there be additional things that need to be done in the interim, actually get them to be combat coded? Because the thought is when they first come in, they may not be a combat coded status. It looks to me, it may take 12-16 months to get them from the early stages of TR-3 to actually being able to fly within that combat configuration.”
 Lt. Gen. Schmidt: 
 “There are certain capabilities that will not be available in the truncated version of the TR-3 software and you're probably right about the 12 to 16 months. We're looking at everything we can to try to figure out what [we can] move left in that, but that is an accurate assessment, sir, that for a couple of the capabilities that our warfighters feel are required to be fully combat capable they will not be there at the truncation, sir.”
 Chairman Wittman: 
 “I think one of the aspects of this also with NGAD is not just understanding what the future threat scenario would be and what the future countermeasures will be by our adversaries to try to overcome whatever technology would bring to the table, but also to look at [options] like CCA. I think CCA holds a lot of promise for the current aircraft and F-35. As we know, it's meant to be in ancillary, not in place of — but give us your perspective. We talk about the current scenario now moving it to the left getting it out there quickly. But as we advance that particular platform, give me your perspective on what it does to the capability of NGAD.”
 Mr. Hunter: 
 “Our collaborative combat aircraft program is part of the NGAD family system, so it's very much envisioned to be a complementary capability that helps NGAD perform its mission. Having said that, we anticipate, or we project, and we are budgeting towards, fielding of collaborative combat aircraft on a faster time frame. So it is not just NGAD that they would be teaming with. Also, other Air Force systems and joint systems like the F-35.”
 Chairman Wittman: 
 “Do you think what we learn by fielding CCA faster will provide more capability and capacity for NGAD?”
 Mr. Hunter: 
 “Absolutely. It's leveraging that same architecture, that same industry-based partner. It allows us to exercise fielding of technology in a way that will definitely be supportive of us doing the same thing with NGAD.”
 ###",Main Street
April 19,David Rouzer,R,N.C.-7,Judiciary Committee Approves Rouzer Legislation to Deter Asylum Abuse and Restore the Rule of Law,"My first and most important job is serving you. Here are some ways I can help. Congressman Rob Wittman (VA-01) congratulated the winners of the 2023 Congressional App Challenge for Virginia’s First District.  The winning app, PatriotPerks, was developed by Deep Run High School students Yashvanth Singamaneni, Sujash Joseph, Sidhartha Basu, and Abhijit Somala from Glen Allen. PatriotPerks connects veterans with local businesses that offer affordable prices and discounts. While the app aims to boost customer traffic for small businesses and food banks, it also strives to cultivate a sense of community support amongst veterans.   “The creativity, empathy, and dedication showcased through PatriotPerks’ mission exemplifies the spirit of innovation and compassion in Virginia’s First District,” said Congressman Wittman. “Congratulations to Yashvanth, Sujash, Sidhartha, and Abhijit for their impressive work, and thank you for your efforts to support our robust veterans community.”  
The Congressional App Challenge is designed to encourage students’ participation in Science, Technology, Engineering and Math (STEM) education fields. This nationwide event allows middle and high school students from across the country to compete against their peers by creating and exhibiting their software application, or ""app,"" for mobile, tablet, or computer devices on a platform of their choice.  ###",Main Street
April 18,Scott Perry,R,Pa.-10,House GOP blasts ‘joke’ loan to Ukraine in latest blow to Johnson’s foreign aid plan,"

 Congressman Salud Carbajal (CA-24) visited the future site of more than 30 new apartments and a health clinic in downtown Santa Barbara to present Sanctuary Centers and the County of Santa Barbara with the $1,000,000 investment he secured in this year’s federal budget to support the project.
 ""This is an example of great partnerships in action helping to address the Central Coast’s greatest issues,” said Rep. Carbajal. “It tackles housing: 34 new affordable units for Central Coast families, which are much needed. It tackles health: creating a new clinic to address mental health, substance use, and other ailments. And it does both right in the heart of downtown Santa Barbara.”
 “Congressman Carbajal's decisive leadership in securing federal funding to support the construction of 34 units of affordable housing is a beacon of hope for Santa Barbara County,” said Sanctuary Centers President and CEO Barry Schoer. “This funding will have a profound impact on residents with mental illness who wish to live independently while receiving supportive behavioral health services.” “Having an 100% affordable project in the middle of downtown is vital and serves a real need for the many folks in our working class who are working to survive,” said Santa Barbara County Supervisor Das Williams. “We are grateful to Representative Carbajal for his support in securing the Community Project Funding grant to create housing units for the chronically mentally ill,” stated Jesús Armas, Director of the Santa Barbara County Community Services Department. “The residents will receive comprehensive services to address their ongoing mental health needs.  We also thank Barry Schoer and the Sanctuary Centers Board for their vision to expand critical housing and services for the County’s most vulnerable population.” The $1,000,000 in funding that Rep. Carbajal worked to secure in the 2024 federal budget signed into law last month supports the construction of 34 new studio apartments along with an on-site clinic at 115 West Anapamu Street in Santa Barbara. The clinic will give residents access to supportive services for those struggling with mental health, substance abuse, and other health concerns. The mixed-use development will also include 10 units set aside for 24/7 supportive care from the Sanctuary Centers team. Construction on the project began in December 2023. Additional funding for the project was provided by Santa Barbara County, the State of California, and private donations. The funding is part of $13,446,901 secured by Carbajal for 14 Central Coast projects which he championed over the course of the past year’s federal budget negotiations. The projects range from public safety and infrastructure upgrades to water system improvements. In the spring of 2023, Rep. Carbajal began to push for funding for these projects through formal requests to the House Appropriations Committee for Fiscal Year 2024. Rep. Carbajal has previously secured funding for 23 different community projects, totaling nearly $40 million over the past two years. The funding was secured through the Community Project Funding (CPF) initiative first launched in 2022. Projects must be in the public interest, be good uses of taxpayer dollars, and be certified to not conflict with the representative’s personal financial interests. More information on the rules governing what projects could be requested can be found here. Enter your email address to get the latest updates straight to your inbox. Use the form below to sign up for my newsletter and get the latest news and updates directly to your inbox.",Freedom Party
April 16,Salud Carbajal,D,Calif.-24,"Rep. Carbajal Highlights Securing $1,000,000 Investment for New Housing Options, Health Clinic in Downtown Santa Barbara","Washington, D.C. – On Wednesday, Rep. Ralph Norman (SC-05) reintroduced the Earmark Elimination Act. The Earmark Elimination Act would permanently ban federal earmarks. Background An earmark is an item in appropriations bills or large spending packages that designates money for a specific special interest group or project while avoiding the typical merit-based or competitive award process for federal funding. Prior to 2011, earmarks had become a frequent source of corruption and furthering of personal agendas by Members of Congress. In 2011, Congress passed a temporary ban on earmarks, which every session of Congress has since renewed. However, earmarks have returned and have been used by countless Members since Fiscal Year 2022. As first reported by Virginia Allen in the Daily Signal, Rep. Norman's bill would create a permanent federal ban on earmarks in the House of Representatives. This is the only way to limit the cost and impact of earmarks, as well as the corruption which comes with appropriating money to pet-projects simply to buy votes in Congress. With the U.S. $34 trillion in debt, Congress should not be putting taxpayers on the hook for frivolous handouts to politically connected friends. This bill is co-sponsored by Rep. Scott Perry (PA-10), Rep. Matt Rosendale (MT-02), Rep. Tom Tiffany (WI-07), Rep. Tom McClintock (CA-05), Rep. Andy Ogles (TN-05), Rep. Bob Good (VA-05), and Rep. Victoria Spartz (IN-05). This bill has the support of the National Taxpayer Union, Advancing American Freedom, and Heritage Action. Statements ""The use and abuse of earmarks by Members on both sides of the political aisle is appalling,"" said Rep. Norman in a statement on Wednesday. ""I will continue to reintroduce this bill to kill earmarks each Congress until others take it seriously. We owe that much to the taxpayers who we work for."" ""Taxpayers are fed up with earmarks and special interest spending. That is why the National Taxpayers Union is pleased to support Rep. Ralph Norman's Earmark Elimination Act, which would permanently ban earmarks. Getting deficits under control should be the top priority of Congress and cutting low-hanging fruit like earmarks should be the first step in a comprehensive process to balance the budget,"" said the National Taxpayers Union. ""Earmarks have always been wasteful. But today, they're increasingly wicked too: funding abortion facilities, antisemitic groups, and organizations that trans kids behind their parents' backs. Bringing earmarks back was a terrible idea. Congress must pass the Earmark Elimination Act immediately,"" said Paul Teller, Executive Director of Advancing American Freedom.   For questions about Rep. Norman's votes in Congress, legislation, or federal policies For assistance with departments or agencies of the federal government",New Democrat Coalition
